	hrf_0	hrf_1	hrf_2	hrf_3	hrf_4	hrf_5	hrf_6	hrf_7	hrf_8	hrf_9	hrf_10	hrf_11	hrf_12	hrf_13	hrf_14	hrf_15	hrf_16	hrf_17	hrf_18	hrf_19
29.700000000000003	9.22305404852716e-09	5.358554507115447e-09	6.4778556609535625e-09	-2.1214013275982953e-06	-0.0007846469897084137	-0.005743534208306204	-0.014370534835046444	-0.023893490370973568	-0.026722299902901075	-0.02513347343820007	-0.021124877956959	-0.0168378665402509	-0.01346473479524285	-0.010023589656277993	-0.008114580140745063	-0.00670747940835028	-0.00610555896755078	0.00013266941265844878	0.0006218150645996709	0.001436695984044775
29.8	8.489814678911152e-09	4.9145518898457044e-09	5.951608285264222e-09	-1.989374898921139e-06	-0.0007617011073027093	-0.005643998196130874	-0.014204575180844592	-0.0237103471415063	-0.02648060498588954	-0.02480826483915486	-0.020738175522832077	-0.01643918847298446	-0.013088274850398618	-0.009701570266555793	-0.007847528325861806	-0.006499673631331764	-0.00598440658695385	0.00012696758502747193	0.0006006602855784344	0.0013937549439951822
29.900000000000002	7.814640052157326e-09	4.507179433388218e-09	5.467441231262828e-09	-1.865489102093664e-06	-0.0007394095600156759	-0.005546099692331691	-0.014040362297656117	-0.02352842818401076	-0.026240396824708925	-0.02448580130807985	-0.02035638739013096	-0.01604744347386416	-0.01271978084771712	-0.009387552613170147	-0.007587188757475656	-0.006296542538869328	-0.005864231911003508	0.00012150661531199213	0.0005802209450680277	0.0013520901183328392
30.0	7.192951755853359e-09	4.133429986624411e-09	5.022060185821395e-09	-1.7492472591679987e-06	-0.0007177542978263235	-0.005449813928092306	-0.01387788106241553	-0.02334772806012149	-0.02600167930466284	-0.024166095083152674	-0.019979517738342733	-0.0156626038685506	-0.01235919191646517	-0.009081447868375834	-0.007333493274050952	-0.006098064696754115	-0.005745084890511322	0.0001162764214330022	0.0005604730257550243	0.0013116638508697067
30.1	6.620530683433139e-09	3.790541865758053e-09	4.612421227595491e-09	-1.640182631593774e-06	-0.0006967177461590869	-0.00535511645325095	-0.013717116414506765	-0.02316824130622271	-0.025764455984890033	-0.023849157278708153	-0.01960756818423918	-0.015284638082201513	-0.01200644255912294	-0.008783162532443305	-0.007086369019116086	-0.005904214148467634	-0.005627012822010051	0.00011126733901984028	0.0005413933090367577	0.001272439586008115
30.200000000000003	6.0934889841709435e-09	3.4759789533396428e-09	4.235712606583562e-09	-1.537856640634845e-06	-0.0006762827942020991	-0.005261983133749151	-0.013558053357246809	-0.022989962434694523	-0.02552873010481708	-0.023534997910108418	-0.019240537861689697	-0.01491351081381075	-0.01166146292099574	-0.008492598782078193	-0.006845738775008066	-0.005714960663696488	-0.00551006039009797	0.00010647010432221518	0.0005229593487849931	0.0012343818369861454
30.3	5.608244190070638e-09	3.187412397201928e-09	3.889337759966248e-09	-1.4418571918274059e-06	-0.0006564327834800914	-0.0051703901490512336	-0.013400676959311133	-0.022812885935132986	-0.02529450459053863	-0.023223625918434573	-0.018878423500739486	-0.014549183207815855	-0.011324179054018163	-0.008209654809214666	-0.006611521287984652	-0.005530269982660383	-0.005394269711761128	0.00010187583781006705	0.0005051494459571303	0.0011974561550225514
30.400000000000002	5.1614953518424064e-09	2.9227037820746357e-09	3.5708994905857954e-09	-1.3517970975170243e-06	-0.0006371514966777098	-0.0050803139895370004	-0.013244972356103515	-0.02263700627554545	-0.025061782061121085	-0.022915049194999926	-0.018521219505901444	-0.014191613022845119	-0.010994513174569466	-0.007934225149975535	-0.006383631584425337	-0.005350104055923798	-0.005279680382523822	9.747602843416556e-05	0.0004879426240281875	0.0011616290993364258
30.5	4.750201028994425e-09	2.6798896566187674e-09	3.2781852375664616e-09	-1.2673125918449412e-06	-0.0006184231467090033	-0.004991731453869389	-0.01309092475107081	-0.022462317903519508	-0.02483056483483198	-0.022609274605665235	-0.018168918033614794	-0.013840754797507364	-0.010672383915141952	-0.007666201003627675	-0.006161981277893091	-0.005174421279391485	-0.005166329524286335	9.326251852137784e-05	0.00047131860521766985	0.0011268682080174727
30.6	4.3715589909271326e-09	2.4571673078233267e-09	3.0091533717553604e-09	-1.1880619328699904e-06	-0.0006002323660288555	-0.004904619646339381	-0.012938519416964651	-0.02228881524736825	-0.02460085493529571	-0.022306308014957518	-0.017821509068826416	-0.013496560013114067	-0.010357706569730138	-0.0074054705413954215	-0.0059464788668602215	-0.005003176724216756	-0.0050542518347061385	8.922748927954093e-05	0.0004552577874861673	0.0010931419697234233
